sku;name;paramsynonym;category;enabled;price;purchaseprice;amount;sku:size:color:price:purchaseprice:amount;unit;discount;shippingprice;weight;size;briefdescription;description;title;metakeywords;metadescription;h1;photos;videos;markers;properties;producer;preorder;salesnote;related sku;alternative sku;custom options;gtin;googleproductcategory;adult;manufacturer_warranty
00000018442;Lalaloopsy Girls 530077 Лалалупси Герлз Сладкоежка;00000018442;[Куклы и аксессуары >> Lalaloopsy];+;1708,00;1219,68;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Кукла Lalaloopsy Girls 530077 Лалалупси Герлз Сладкоежка<br />Кукла Lalaloopsy Сладкоежка (Crumb Sugar Cookie) была сшита из остатков униформы повара. Она очень любит сладкое и обожает готовить! Сладкоежка часто устраивает веселые чаепития с друзьями. <br />День рождения – 4 декабря (Национальный день кулинарии).  <br />Домашнее животное – мышка. <br />Живет в пряничном домике. <br />Лалалупси Сладкоежка одета в розовую атласную блузку и желтую юбочку. На голове у нее черный обруч с бантом, на ногах - черные туфельки и высокие розовые гольфы.  <br />Высота куклы - 25 см. <br />    Мягкие волосы-ленты <br />    Питомец в комплекте <br />    Упаковка в виде домика с интерьером  <br />Куколки Лалалупси тоже взрослеют – теперь они подросли и пошли учить в Академию Волшебных Искусств. Там они будут обучаться магии и жить в одном корпусе. Это – серия Lalaloopsy Girls. Она рассчитана на более взрослых девочек. Подружки Лалалупси стали старше, но остались такими же милыми и забавными!<br />Обратите внимание на игровой набор Lalaloopsy Tinies 529538 Лалалупси Замок с малюткой Lalaloopsy;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8360.jpg;8361.jpg";;;"Бренд:Lalaloopsy;Вес:0.477 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000018443;Moxie Mini 418429 Мокси Мини, Ниве;00000018443;[Куклы и аксессуары >> Moxie];+;496,00;354,42;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Кукла Moxie Mini 418429 Мокси Мини, Ниве<br />Мини версия кукол Moxie (Мокси) высотой 12 см! <br />Эта малышка со светлыми волосами одета в летнее платье с яркой юбочкой и сиреневые туфельки в тон платью. У куколки подвижные части тела. <br />Малышка Ниве может быть в качестве дочки или младшей сестренки для куклы Moxie Girlz. Игра с куклами Мокси стала еще интересней!<br />Обратите внимание на куклу Кукла Moxie 503125 Мокси с плавающим дельфином, Эйвери.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8362.jpg;;;"Бренд:Moxie;Вес:0.063 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
00000018444;Moxie Mini 418436 Мокси Мини, Камео;00000018444;[Куклы и аксессуары >> Moxie];+;496,00;354,42;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Кукла Moxie Mini 418436 Мокси Мини, Камео<br />Мини версия кукол Moxie (Мокси) высотой 12 см! <br />Эта малышка со светлыми волосами одета в летнее платье с яркой юбочкой и сиреневые туфельки в тон платью. У куколки подвижные части тела. <br />Малышка Камео может быть в качестве дочки или младшей сестренки для куклы Moxie Girlz. Игра с куклами Мокси стала еще интересней!<br />Обратите внимание на куклу Кукла Moxie 503125 Мокси с плавающим дельфином, Эйвери.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8363.jpg;8364.jpg;8365.jpg";;;"Бренд:Moxie;Вес:0.063 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
00000018445;Moxie Mini 418443 Мокси Мини, Талли;00000018445;[Куклы и аксессуары >> Moxie];+;496,00;354,42;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Кукла Moxie Mini 418443 Мокси Мини, Талли<br />Мини версия кукол Moxie (Мокси) высотой 12 см! <br />Эта малышка со светлыми волосами одета в летнее платье с яркой юбочкой и сиреневые туфельки в тон платью. У куколки подвижные части тела. <br />Малышка Ниве может быть в качестве дочки или младшей сестренки для куклы Moxie Girlz. Игра с куклами Мокси стала еще интересней!<br />Обратите внимание на куклу Кукла Moxie 503125 Мокси с плавающим дельфином, Эйвери.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8366.jpg;8367.jpg;8368.jpg";;;"Бренд:Moxie;Вес:0.063 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
00000018447;Novi Stars 516941 Нови Старc Кукла Mae Tallick (Говорящая);00000018447;[Куклы и аксессуары >> Novi Stars];+;701,00;500,72;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Novi Stars 516941 Нови Старc Кукла Mae Tallick (Говорящая)<br />Это единственная девушка-робот во всей компании. Но она ведет себя как обычный тинэйджер. Она активная, заводная, и мечтает о карьере певицы. Впервые она выступила в караоке-клубе – это был большой успех. Она признаёт, что чрезмерно болтлива, но меняться не собирается. <br />Требуются 2 батарейки LR44 (AG13) таблеточного типа.Вставляются в отсек на голове. Батарейки из набора предназначены для демонстрационных целей.<br />Возраст: 13,7 биллионов световых лет!<br />Миссия: стать величайшей поп-звездой! <br />Космическая фишка: болтушка<br />Характер: общительная, немного неуклюжая<br />Питомец: 8 Bit (плюшевый мишка со странными ушами)<br />Стиль в одежде: блестящий металлик, заряжающий энергией всё вокруг<br />Любимаяземная еда: главное не еда, а то, во что она завёрнута! Всё заворачиваю в фольгу - это самая прикольная вещь на Земле! <br />Хобби: играть в диджея<br />Хочу научиться: вовремя останавливаться во время катания на роликах… к гравитации привыкнуть нелегко! <br />Друзья называют меня: Miz Bot (сокращение от англ. robot – мисс робот).<br />Не понимаю: Зачем земляне ходят на пляж. Песок и соль вечно застревают в шестерёнках – ну кому это понравится!?;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8369.jpg;8370.jpg;8371.jpg;8372.jpg";;;"Бренд:Novi Stars;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Вес:0.4 кг";;-;;;;;;;-;-
00000018448;Novi Stars 528012 Нови Старc Инопланетные друзья, Карамелька;00000018448;[Куклы и аксессуары >> Novi Stars];+;701,00;500,72;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Novi Stars 528012 Нови Старc Инопланетные друзья, Карамелька<br />Novi Stars 528012 Нови Старc Инопланетные друзья, Карамелька<br />Космическая фишка: Тело покрыто «сахаром».<br />Ручки и ножки сгибаются.<br />У каждой Нови Старз есть своя “космическая фишка”<br />Каждый персонаж уникален во всех отношениях<br />Каждая Нови Старз из этой серии в чем-то похожа на конфетку, а также имеет уникальный рисунок глаз и узоры на лице.<br />Наряды каждой пестрят радугой космических цветов, глаза у них сияют, а реснички покрыты блёстками<br />Подставка для куклы входит в набор;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8373.jpg;8374.jpg";;;"Бренд:Novi Stars;Вес:0.302 кг;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000018449;Zapf Creation Baby born 819-869 Бэби Борн Кукла супермягкая, 30 см;00000018449;[Куклы и аксессуары >> Zapf Creation];+;1717,00;1226,17;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Супермягкая кукла Zapf Creation Baby born 819-869 Бэби Борн, 30 см<br />Куколка высотой 28 см, полностью мягкая, только лицо твердое. Специально разработана для самых маленьких детишек.<br />Обратите внимание на куклу Zapf Creation Baby born 820-414 Бэби Борн Кукла 43 см.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8375.jpg;8376.jpg;8377.jpg";;;"Бренд:Zapf Creation;Вес:0.493 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
00000018453;Zapf Creation Chou Chou 920-282 Шу-Шу Мини-лисичка Дерево-домик функц. с куклой;00000018453;[Куклы и аксессуары >> Zapf Creation];+;4425,00;3161,07;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Игровой набор Zapf Creation Chou Chou 920-282 Шу-Шу Мини-лисичка Дерево-домик функц. с куклой<br />Игровой набор с куклой Шу-Шу от Zapf Creation, который можно купить в нашем интернет-магазине игрушек по очень привлекательной цене, выполнен в виде большого дерева-домика с развлечениями. Внутри домика загорается свет и работает дверной звонок. Слева и справа от домика расположены норки для питомцев - птички и лисички. Над каждой установлены указатели с нарисованными обитателями жилища. <br />Над домиком растут деревья, между которыми подвешено 2 гамака, где отдыхают куклы Chou Chou. К левому дереву подвешена кормушка для совы и подъемник. На правом расположен почтовый ящик и наблюдательная площадка. <br />В комплект входит кукла <br />2 питомца <br />В домике зажигается свет, срабатывает дверной звонок <br />На втором этаже - гамаки, наблюдательный пункт, деревья, почтовый ящик <br />Кормушка и подъемник на тросе <br />2 норки для питомцев <br />Высота куклы - 12 см. <br />Порадуйте свою малышку — купите игровой набор 920-282 Шу-Шу Мини-лисичка Дерево-домик по низкой цене в интернет-магазине Toy.ru.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8378.jpg;;;"Бренд:Zapf Creation;Вес:1.65 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
00000018454;Zapf Creation Chou Chou 920-299 Шу-Шу Мини-лисичка Кукла 12 см в ассортименте (2 волна);00000018454;[Куклы и аксессуары >> Zapf Creation];+;828,00;591,47;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Кукла Zapf Creation Chou Chou 920-299 Шу-Шу Мини-лисичка 12 см в ассортименте (2 волна)<br />Кукла Шу-Шу от Zapf Creation отличается необычным исполнением и выразительным личиком. Новая серия - мини-лисички Шу-Шу. На этот раз питомцы куколок - маленькие лисята. Внешний вид Шу-Шу тоже немного изменился - теперь у них на голове чепчики с лисьими ушками. Куклы, по-прежнему, одеты в яркие, стильные наряды, у каждой - уникальное личико и глазки-линзы. В комплекте с каждой куклой Шу-Шу - маленькая лисичка, которую можно надеть на пальчик и устроить кукольный театр. Обувь и шапочки кукол выполнены из мягкого полимера: всю одежду можно снимать и совмещать с другими куклами серии. <br />В ассортименте - 4 куклы на выбор <br />В набор входит - кукла Chou-Chou <br />Лисичка, которую можно надеть на пальчик <br />Одежду куклы можно снимать и комбинировать <br />Высота куклы - 12 см.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8379.jpg;8380.jpg;8381.jpg;8382.jpg";;;"Бренд:Zapf Creation;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
00000018455;Zapf Creation Mooshka 940-310 Мушка Кукла 24 см, 4 асс., кор.;00000018455;[Куклы и аксессуары >> Zapf Creation];+;855,00;610,72;10;;шт;0,00;0,00;0,00;0 x 0 x 0;;Zapf Creation Mooshka 940-310 Мушка Кукла 24 см, 4 асс., кор.<br />Zapf Creation Mooshka 940-310Мушка Кукла 24 см, 4 асс., кор.<br />Мягконабивные кукла, <br />Каждая кукла-индивидуальный персонаж в уникальной одежде и аксессуарах:<br />На руках куколок есть липучки, чтобы крепко держаться за руки<br />Обратите внимание на куклу Zapf Creation Baby born 820-414 Бэби Борн Кукла 43 см.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;"8383.jpg;8384.jpg;8385.jpg";;;"Бренд:Zapf Creation;Вес:0.037 кг;Возраст:4-5 лет;Возраст:6-8 лет;Пол:Для девочек;Пол:Для мальчиков;Возраст:1-3 года";;-;;;;;;;-;-
